Common_name,alternate_names_1,alternate_names_2,alternate_names_3,alternate_names_4,alternate_names_5,alternate_names_6,alternate_names_7,alternate_names_8,alternate_names_9,alternate_names_10,alternate_names_11,alternate_names_12,alternate_names_13,alternate_names_14,alternate_names_15,alternate_names_16,alternate_names_17,alternate_names_18,alternate_names_19,alternate_names_20,alternate_names_21,alternate_names_22,alternate_names_23,alternate_names_24,alternate_names_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,ammonium caseinate,calcium caseinate,magnesium caseinate,potassium caseinate,sodium caseinate,Beta-lactoglobulin,Casein,Caseinate,Rennet casein,Curds,Delactosed,Demineralised whey,Dry milk,Sour cream,Sour milk solids,Hydrolyzed casein,Hydrolyzed milk protein,Lactalbumin,Lactalbumin phosphate,Lactoferrin,Lactoglobulin,Milk derivative,Milk fat,Milk protein,Modified milk ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egg,Albumin,Albumen,Conalbumin,Egg substitutes,Egg BeatersTM,Eggnog,Globulin,Livetin,Lysozyme,Meringue,Ovalbumin,Ovoglobulin,ovolactohydrolyze proteins,Ovomacroglobulin,Ovomucin,Ovomucoid,Ovotransferrin,Ovovitellin,Silico-albuminate,Simplesse®,Vitellin,eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree nuts,Almonds,Brazil nuts,Cashews,Hazelnuts,Filberts,Macadamia nuts,Pecans,Pine nuts,Pinon,Pignolias,Pistachios,Walnuts,Anacardium nuts,Mandelonas,Nut meats,Queensland nut,tree nut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peanuts,Arachide,Arachis oil,Cacahouète,Beer nuts,Cacahouette,Cachuète,Goober nuts,peanut,Goober peas,Ground nuts,Kernels,Mandelonas,Nu-Nuts,Nut meats,Valencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soy,edamame,Bean curd,Glycine max,Kinako,Kouridofu,Miso,Hydrolyzed soy protein,Natto,Nimame,Okara,Soya,soja,soybean,soyabeans,Tempeh,Yuba,vegetable protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gluten,Gluten,Atta,Bulgur,Couscous,Durum,Einkorn,Emmer,Enriched flour,White flour,Whole-wheat flour,Farina,Graham flour,High gluten flour,High protein flour,Kamut,Seitan,Semolina,Spelt,Dinkel,Farro,Triticale,Titicum aestivom,Wheat bran,Wheat flour,Wheat germ,Wheat gluten,Wheat,Starch,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shellfish,Crab,Crayfish,Crawfish,Ecrivisse,Lobster,Langouste,Langoustine,Coral,Tomalley,Prawns,Shrimp,Crevette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sesame,Benne,Benne seed,Benniseed,Gingelly,Gingelly oil,Seeds,Sesamol,Sesamolina,Sesamum indicum,Sim sim,Tahini,Sesame paste,Til,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mollusc,Abalone,Clam,Cockle,Conch,Geoducks,Limpets,Mussels,Octopus,Oysters,Periwinkle,Quahaugs,Scallops,Snails,Escargot,Squid,Calamari,Whelks,Mollusc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish,Anchovy,Basa,Bass,Bluefish,Bream,Carp,Catfish,Channel cat,Mud cat,Char,Chub,Cisco,Cod,Eel,Flounder,Grouper,Haddock,Hake,Halibut,Herring,Mackerel,Mahi-mahi,Marlin,Monkfish,Angler fish,Lotte,Orange roughy,Perch,Pickerel,Dore,Walleye,Pike,Plaice,Pollock,Pompano,Porgy,Rockfish,Salmon,Sardine,Shark,Smelt,Snapper,Sole,Sturgeon,Swordfish,Tilapia,St. Peter's fish,Trout,Tuna,Albacore,Bonito,Turbot,White fish,Fishes,Whiting
